ts_ms,cache,ttfb_ms,bytes,model,hash
1756339688695,api,70,0,eleven_turbo_v2,a986052dc175baa16026effac79b74bdead8daf9
1756339688801,api,106,0,eleven_turbo_v2,d19f629dc59e081e80a5c6517aaedea1354c2f43
1756339688866,api,63,0,eleven_turbo_v2,a88c499928220227df98ad2f9a49fb1256f1788e
1756339688934,api,67,0,eleven_turbo_v2,4190f48908851e818965de8e1c3e802615fb4ea1
1756339689066,api,130,0,eleven_turbo_v2,aba443ef72a1cf97657de0fb4133dc417e51b8b7
1756339689128,api,62,0,eleven_turbo_v2,e9b4f9a190882d2c9edb93271b10cd6157ad3f55
1756339689205,api,77,0,eleven_turbo_v2,96044f37d054e0fa4515c7976ee45354c5c738a4
1756339689257,api,52,0,eleven_turbo_v2,85c4c760f81757ff1a8d1e1ae4ec31a072b07b1f
1756339689332,api,75,0,eleven_turbo_v2,8c56eca998d9aada77a198244c2c4a2be05c8b27
1756339689390,api,57,0,eleven_turbo_v2,f39999169c7441b30c1dd78c808b014f522afb2d
1756339689470,api,64,0,eleven_turbo_v2,35d99c24528986b0ebcddd5605fa3450a8437003
1756339689565,api,94,0,eleven_turbo_v2,fc33981137e35aaacea11fae59110668278852a1
1756339689626,api,60,0,eleven_turbo_v2,9f922771ab7ded609f2c33fbd4ed3cb5adcb1d9a
1756339689674,api,46,0,eleven_turbo_v2,499bd655587c2a68dad6dc301c493cb82f292510
1756339689789,api,99,0,eleven_turbo_v2,128d105562c152ca60d97ac52c7098513aeb09e3
1756339689840,api,50,0,eleven_turbo_v2,7b4e11d3c2835491f82c219043268c95c3eba33c
1756339689907,api,66,0,eleven_turbo_v2,ae2d02d23a0b14095d60efdc10f59116328a50e9
1756339689973,api,65,0,eleven_turbo_v2,fb90c52d8d5b7e1af97db74b10d90b014f19d6dc
1756339690071,api,96,0,eleven_turbo_v2,708eeed464d2d25e405f209c8503856b9aa2010a
1756339690171,api,100,0,eleven_turbo_v2,c5f113b06a7a8be36f2fca56c25509fa21233140
1756339690311,api,139,0,eleven_turbo_v2,f99ae5a9e44dc34187c61cd9943fe4e08e05a8ca
1756339690357,api,45,0,eleven_turbo_v2,68850fc0f8f7afdf57a5f6916a5ec6be883a5752
1756339690437,api,79,0,eleven_turbo_v2,c604bdd57ae1dd7436177f51a6d353a6eeee0152
1756339690541,api,104,0,eleven_turbo_v2,fd9a266da98e4552e4e02d322473817507220b98
1756339690589,api,48,0,eleven_turbo_v2,0994682f72a77b354fc73a49b650caec0ab75c43
1756339690672,api,83,0,eleven_turbo_v2,af98f6d444df8a1296507f0156f19a34aee41146
1756339690799,api,111,0,eleven_turbo_v2,157e1c8db3d835e7d4f37d7f5d569fccd3f15e44
1756339690884,api,84,0,eleven_turbo_v2,41d879d4c44c7734c0e7a123b3d53bcabc39a6db
1756339690966,api,81,0,eleven_turbo_v2,4a57b9dd734a7c0741187c06157b5829674fc4e4
1756339691024,api,57,0,eleven_turbo_v2,958b5e2ba17052e45ee7df949e04160306e54b83
1756339691074,api,50,0,eleven_turbo_v2,6afc89ded3ad4b0498c91fde53cd330799cf18ba
1756339691205,api,131,0,eleven_turbo_v2,1c0fcecd934db8091cf95ff5a6f4738f5f6c1499
1756339691284,api,78,0,eleven_turbo_v2,3178055de674d1b0e52957cf28797f03c7b848d5
1756339691341,api,56,0,eleven_turbo_v2,ceacac2842f71b5e74baf344ac656a9b23433121
1756339691437,api,95,0,eleven_turbo_v2,1c1e50a1ed8e25ea84ebe53600ecb15dbba92ea0
1756339691499,api,62,0,eleven_turbo_v2,136028a27a0900e63fa08b40c4549b25b8995dd3
1756339691573,api,72,0,eleven_turbo_v2,d61d7ca5ea2aade0f8b0f7ddc7ca8e6c7336f2a6
1756339691672,api,99,0,eleven_turbo_v2,0b5aac5aca9f6c52c3b79ac4efc7e6222ac480b3
1756339691742,api,53,0,eleven_turbo_v2,9fd8b571179d3ef3a5f808d4af4f1bd9726f20cb
1756339691830,api,88,0,eleven_turbo_v2,db22c406853699cd01e89f06102526f5a7412d2b
1756339691901,api,70,0,eleven_turbo_v2,2cd6871d3b9cfadce65ebc460034e1f08825b51a
1756339691972,api,70,0,eleven_turbo_v2,0d1950ec195f0de58589c09950b9de6e4ee47857
1756339692081,api,109,0,eleven_turbo_v2,3af6e477e0680fb3aedc9fa6cbbe3e4cdbfdd312
1756339692206,api,124,0,eleven_turbo_v2,cf5ff2c242031b6e986ff0925b38ecee4d2db9e3
1756339692316,api,109,0,eleven_turbo_v2,11c8ef0f5a81f3888c278312afbd236d9a630b08
1756339692393,api,77,0,eleven_turbo_v2,7248fae6f1a32227271cb5058eadc7cda23f9c8c
1756339701939,api,155,0,eleven_turbo_v2,b2a55398ef776cf5cbad0baa8746fa732f12df28
1756339702048,api,108,0,eleven_turbo_v2,e8fe741a21168e21d95b496fb8e796491e124fac
1756339702103,api,54,0,eleven_turbo_v2,6bd7ec70bfde9f0c18b771da55e452d97282f310
1756339702146,api,42,0,eleven_turbo_v2,e3059d46d44ad360b962a424c34bac21aec7d125
1756339702208,api,51,0,eleven_turbo_v2,d68649b9898d6b6a9574aa350e93a0a282886c55
1756339702305,api,97,0,eleven_turbo_v2,62ac6d144ccfea5b28022aab8785a528f240fb36
1756339702378,api,72,0,eleven_turbo_v2,0de980ad81eb40889edd424c2a9b025460d52f5c
1756339702440,api,62,0,eleven_turbo_v2,04a8d1fcec2710a38d9c8802d30577897b13000b
1756339702557,api,116,0,eleven_turbo_v2,667004c5c5857061173da49f6c9de06645e4dcb3
1756339702607,api,50,0,eleven_turbo_v2,e7ab13d288f46b721ab487226f114f2317633215
1756339702674,api,66,0,eleven_turbo_v2,caaa8097b2efb177d541681757b52d09c6f56b8d
1756339702727,api,52,0,eleven_turbo_v2,a986052dc175baa16026effac79b74bdead8daf9
1756339702832,api,105,0,eleven_turbo_v2,d19f629dc59e081e80a5c6517aaedea1354c2f43
1756339702905,api,71,0,eleven_turbo_v2,a88c499928220227df98ad2f9a49fb1256f1788e
1756339702964,api,57,0,eleven_turbo_v2,4190f48908851e818965de8e1c3e802615fb4ea1
1756339703066,api,100,0,eleven_turbo_v2,aba443ef72a1cf97657de0fb4133dc417e51b8b7
1756339703125,api,59,0,eleven_turbo_v2,e9b4f9a190882d2c9edb93271b10cd6157ad3f55
1756339703176,api,48,0,eleven_turbo_v2,96044f37d054e0fa4515c7976ee45354c5c738a4
1756339703276,api,100,0,eleven_turbo_v2,85c4c760f81757ff1a8d1e1ae4ec31a072b07b1f
1756339703347,api,70,0,eleven_turbo_v2,8c56eca998d9aada77a198244c2c4a2be05c8b27
1756339703440,api,91,0,eleven_turbo_v2,f39999169c7441b30c1dd78c808b014f522afb2d
1756339703541,api,101,0,eleven_turbo_v2,35d99c24528986b0ebcddd5605fa3450a8437003
1756339703633,api,92,0,eleven_turbo_v2,fc33981137e35aaacea11fae59110668278852a1
1756339703700,api,65,0,eleven_turbo_v2,9f922771ab7ded609f2c33fbd4ed3cb5adcb1d9a
1756339703804,api,101,0,eleven_turbo_v2,499bd655587c2a68dad6dc301c493cb82f292510
1756339703862,api,55,0,eleven_turbo_v2,128d105562c152ca60d97ac52c7098513aeb09e3
1756339703960,api,95,0,eleven_turbo_v2,7b4e11d3c2835491f82c219043268c95c3eba33c
1756339704079,api,118,0,eleven_turbo_v2,ae2d02d23a0b14095d60efdc10f59116328a50e9
1756339704146,api,65,0,eleven_turbo_v2,fb90c52d8d5b7e1af97db74b10d90b014f19d6dc
1756339704199,api,51,0,eleven_turbo_v2,708eeed464d2d25e405f209c8503856b9aa2010a
1756339704263,api,63,0,eleven_turbo_v2,c5f113b06a7a8be36f2fca56c25509fa21233140
1756339704333,api,68,0,eleven_turbo_v2,f99ae5a9e44dc34187c61cd9943fe4e08e05a8ca
1756339704398,api,63,0,eleven_turbo_v2,68850fc0f8f7afdf57a5f6916a5ec6be883a5752
1756339704475,api,67,0,eleven_turbo_v2,c604bdd57ae1dd7436177f51a6d353a6eeee0152
1756339704580,api,103,0,eleven_turbo_v2,fd9a266da98e4552e4e02d322473817507220b98
1756339704653,api,70,0,eleven_turbo_v2,0994682f72a77b354fc73a49b650caec0ab75c43
1756339704710,api,55,0,eleven_turbo_v2,af98f6d444df8a1296507f0156f19a34aee41146
1756339704761,api,49,0,eleven_turbo_v2,157e1c8db3d835e7d4f37d7f5d569fccd3f15e44
1756339704863,api,101,0,eleven_turbo_v2,41d879d4c44c7734c0e7a123b3d53bcabc39a6db
1756339704930,api,66,0,eleven_turbo_v2,4a57b9dd734a7c0741187c06157b5829674fc4e4
1756339705014,api,81,0,eleven_turbo_v2,958b5e2ba17052e45ee7df949e04160306e54b83
1756339705057,api,43,0,eleven_turbo_v2,6afc89ded3ad4b0498c91fde53cd330799cf18ba
1756339705158,api,101,0,eleven_turbo_v2,1c0fcecd934db8091cf95ff5a6f4738f5f6c1499
1756339705271,api,113,0,eleven_turbo_v2,3178055de674d1b0e52957cf28797f03c7b848d5
1756339705340,api,68,0,eleven_turbo_v2,ceacac2842f71b5e74baf344ac656a9b23433121
1756339705439,api,98,0,eleven_turbo_v2,1c1e50a1ed8e25ea84ebe53600ecb15dbba92ea0
1756339705491,api,52,0,eleven_turbo_v2,136028a27a0900e63fa08b40c4549b25b8995dd3
1756339705558,api,66,0,eleven_turbo_v2,d61d7ca5ea2aade0f8b0f7ddc7ca8e6c7336f2a6
1756339705636,api,77,0,eleven_turbo_v2,0b5aac5aca9f6c52c3b79ac4efc7e6222ac480b3
1756339705690,api,53,0,eleven_turbo_v2,9fd8b571179d3ef3a5f808d4af4f1bd9726f20cb
1756339705775,api,84,0,eleven_turbo_v2,db22c406853699cd01e89f06102526f5a7412d2b
1756339705824,api,49,0,eleven_turbo_v2,2cd6871d3b9cfadce65ebc460034e1f08825b51a
1756339705941,api,115,0,eleven_turbo_v2,0d1950ec195f0de58589c09950b9de6e4ee47857
1756339706074,api,132,0,eleven_turbo_v2,3af6e477e0680fb3aedc9fa6cbbe3e4cdbfdd312
1756339706174,api,99,0,eleven_turbo_v2,cf5ff2c242031b6e986ff0925b38ecee4d2db9e3
1756339706263,api,89,0,eleven_turbo_v2,11c8ef0f5a81f3888c278312afbd236d9a630b08
1756339706324,api,60,0,eleven_turbo_v2,7248fae6f1a32227271cb5058eadc7cda23f9c8c
1756339814830,api,187,0,eleven_turbo_v2,b2a55398ef776cf5cbad0baa8746fa732f12df28
1756339814924,api,93,0,eleven_turbo_v2,e8fe741a21168e21d95b496fb8e796491e124fac
1756339815034,api,109,0,eleven_turbo_v2,6bd7ec70bfde9f0c18b771da55e452d97282f310
1756339815127,api,93,0,eleven_turbo_v2,e3059d46d44ad360b962a424c34bac21aec7d125
1756339815179,api,52,0,eleven_turbo_v2,d68649b9898d6b6a9574aa350e93a0a282886c55
1756339815247,api,67,0,eleven_turbo_v2,62ac6d144ccfea5b28022aab8785a528f240fb36
1756339815313,api,66,0,eleven_turbo_v2,0de980ad81eb40889edd424c2a9b025460d52f5c
1756339815397,api,81,0,eleven_turbo_v2,04a8d1fcec2710a38d9c8802d30577897b13000b
1756339815472,api,74,0,eleven_turbo_v2,667004c5c5857061173da49f6c9de06645e4dcb3
1756339815543,api,67,0,eleven_turbo_v2,e7ab13d288f46b721ab487226f114f2317633215
1756339815691,api,147,0,eleven_turbo_v2,caaa8097b2efb177d541681757b52d09c6f56b8d
1756339815752,api,59,0,eleven_turbo_v2,a986052dc175baa16026effac79b74bdead8daf9
1756339815815,api,61,0,eleven_turbo_v2,d19f629dc59e081e80a5c6517aaedea1354c2f43
1756339815906,api,90,0,eleven_turbo_v2,a88c499928220227df98ad2f9a49fb1256f1788e
1756339815973,api,67,0,eleven_turbo_v2,4190f48908851e818965de8e1c3e802615fb4ea1
1756339816041,api,67,0,eleven_turbo_v2,aba443ef72a1cf97657de0fb4133dc417e51b8b7
1756339816091,api,49,0,eleven_turbo_v2,e9b4f9a190882d2c9edb93271b10cd6157ad3f55
1756339816157,api,53,0,eleven_turbo_v2,96044f37d054e0fa4515c7976ee45354c5c738a4
1756339816270,api,113,0,eleven_turbo_v2,85c4c760f81757ff1a8d1e1ae4ec31a072b07b1f
1756339816326,api,54,0,eleven_turbo_v2,8c56eca998d9aada77a198244c2c4a2be05c8b27
1756339816395,api,68,0,eleven_turbo_v2,f39999169c7441b30c1dd78c808b014f522afb2d
1756339816440,api,45,0,eleven_turbo_v2,35d99c24528986b0ebcddd5605fa3450a8437003
1756339816540,api,99,0,eleven_turbo_v2,fc33981137e35aaacea11fae59110668278852a1
1756339816607,api,66,0,eleven_turbo_v2,9f922771ab7ded609f2c33fbd4ed3cb5adcb1d9a
1756339816657,api,49,0,eleven_turbo_v2,499bd655587c2a68dad6dc301c493cb82f292510
1756339816723,api,65,0,eleven_turbo_v2,128d105562c152ca60d97ac52c7098513aeb09e3
1756339816781,api,56,0,eleven_turbo_v2,7b4e11d3c2835491f82c219043268c95c3eba33c
1756339816838,api,56,0,eleven_turbo_v2,ae2d02d23a0b14095d60efdc10f59116328a50e9
1756339816890,api,50,0,eleven_turbo_v2,fb90c52d8d5b7e1af97db74b10d90b014f19d6dc
1756339816957,api,67,0,eleven_turbo_v2,708eeed464d2d25e405f209c8503856b9aa2010a
1756339817066,api,108,0,eleven_turbo_v2,c5f113b06a7a8be36f2fca56c25509fa21233140
1756339817143,api,76,0,eleven_turbo_v2,f99ae5a9e44dc34187c61cd9943fe4e08e05a8ca
1756339817207,api,64,0,eleven_turbo_v2,68850fc0f8f7afdf57a5f6916a5ec6be883a5752
1756339817302,api,95,0,eleven_turbo_v2,c604bdd57ae1dd7436177f51a6d353a6eeee0152
1756339817358,api,53,0,eleven_turbo_v2,fd9a266da98e4552e4e02d322473817507220b98
1756339817456,api,97,0,eleven_turbo_v2,0994682f72a77b354fc73a49b650caec0ab75c43
1756339817523,api,51,0,eleven_turbo_v2,af98f6d444df8a1296507f0156f19a34aee41146
1756339817594,api,70,0,eleven_turbo_v2,157e1c8db3d835e7d4f37d7f5d569fccd3f15e44
1756339817706,api,111,0,eleven_turbo_v2,41d879d4c44c7734c0e7a123b3d53bcabc39a6db
1756339817807,api,98,0,eleven_turbo_v2,4a57b9dd734a7c0741187c06157b5829674fc4e4
1756339817857,api,48,0,eleven_turbo_v2,958b5e2ba17052e45ee7df949e04160306e54b83
1756339818022,api,164,0,eleven_turbo_v2,6afc89ded3ad4b0498c91fde53cd330799cf18ba
1756339818093,api,70,0,eleven_turbo_v2,1c0fcecd934db8091cf95ff5a6f4738f5f6c1499
1756339818276,api,182,0,eleven_turbo_v2,3178055de674d1b0e52957cf28797f03c7b848d5
1756339818362,api,86,0,eleven_turbo_v2,ceacac2842f71b5e74baf344ac656a9b23433121
1756339818503,api,140,0,eleven_turbo_v2,1c1e50a1ed8e25ea84ebe53600ecb15dbba92ea0
1756339818645,api,142,0,eleven_turbo_v2,136028a27a0900e63fa08b40c4549b25b8995dd3
1756339818759,api,114,0,eleven_turbo_v2,d61d7ca5ea2aade0f8b0f7ddc7ca8e6c7336f2a6
1756339818880,api,107,0,eleven_turbo_v2,0b5aac5aca9f6c52c3b79ac4efc7e6222ac480b3
1756339819033,api,153,0,eleven_turbo_v2,9fd8b571179d3ef3a5f808d4af4f1bd9726f20cb
1756339819090,api,56,0,eleven_turbo_v2,db22c406853699cd01e89f06102526f5a7412d2b
1756339819190,api,100,0,eleven_turbo_v2,2cd6871d3b9cfadce65ebc460034e1f08825b51a
1756339820473,api,1282,0,eleven_turbo_v2,0d1950ec195f0de58589c09950b9de6e4ee47857
1756339820674,api,199,0,eleven_turbo_v2,3af6e477e0680fb3aedc9fa6cbbe3e4cdbfdd312
1756339820739,api,64,0,eleven_turbo_v2,cf5ff2c242031b6e986ff0925b38ecee4d2db9e3
1756339820877,api,124,0,eleven_turbo_v2,11c8ef0f5a81f3888c278312afbd236d9a630b08
1756339820958,api,80,0,eleven_turbo_v2,7248fae6f1a32227271cb5058eadc7cda23f9c8c
1756407395001,MISS,0,25122,eleven_turbo_v2,f6cd0c343813a59ce22e08e5df0ae3a6ecc2a9ab6c7b956dba7a35fdb033069e
